schema_version,planner,injected_bias_axis,injected_bias_sign,injected_bias_magnitude,episode_id,seed,trial,correction_axis,correction_direction,correction_magnitude,success,steps,episode_return,elapsed_time_ms,final_object_goal_distance,minimum_gripper_object_distance,object_displacement,progress_to_goal,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,trajectory_path,video_path,probe_environment_steps,correction_schedule,approach_steps,push_steps,near_goal_steps
1,probe_rule,x,positive,0.145,1,103,1,none,none,0.0,False,500,103.76777475232579,695.0952999759465,0.19264108613459566,0.038410597067861346,0.05396843736672291,0.03598123209864526,50,0.1,50,0.025,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed103_trial01.jsonl,,0,whole,73,427,0
1,probe_rule,x,positive,0.145,1,103,2,x,negative,0.1,True,68,228.45190979238825,81.65009994991124,0.04887319854151005,0.03422268085383931,0.18673383461823978,0.17974911969173085,30,0.4411764705882353,30,0.11029411764705882,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed103_trial02.jsonl,,32,whole,33,28,7
1,probe_rule,x,positive,0.145,2,107,1,none,none,0.0,False,500,428.0808628990013,664.6852002013475,0.08346665806897478,0.03611047418058722,0.1536346330157256,0.14281751605104354,56,0.112,56,0.028,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed107_trial01.jsonl,,0,whole,83,352,65
1,probe_rule,x,positive,0.145,2,107,2,x,negative,0.1,True,67,233.53407417911,91.1537001375109,0.0489139053144471,0.0334413195105749,0.18397449702184623,0.17737026880557122,31,0.4626865671641791,31,0.11567164179104478,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed107_trial02.jsonl,,32,whole,31,30,6
1,probe_rule,x,positive,0.145,3,108,1,none,none,0.0,False,500,317.0842017046811,657.2797000408173,0.27826948795771383,0.04729598153208292,0.009422906106935462,-0.004166205200424378,42,0.084,42,0.021,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed108_trial01.jsonl,,0,whole,68,432,0
1,probe_rule,x,positive,0.145,3,108,2,x,negative,0.1,True,62,188.55013315919314,92.08320011384785,0.048737088844056316,0.030467570682452465,0.22980926106565214,0.22536619391323315,30,0.4838709677419355,40,0.16129032258064516,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed108_trial02.jsonl,,32,whole,28,29,5
1,probe_rule,x,positive,0.145,4,144,1,none,none,0.0,False,500,103.77116277822292,595.0430000666529,0.528797838726978,0.038110404014193106,0.404570464366078,-0.22149764281700945,58,0.116,60,0.03,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed144_trial01.jsonl,,0,whole,458,42,0
1,probe_rule,x,positive,0.145,4,144,2,x,negative,0.1,False,500,3386.993208423587,593.0438998620957,0.06948653812797614,0.0338406311597424,0.2983165567420735,0.23781365778199245,76,0.152,87,0.0435,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed144_trial02.jsonl,,32,whole,53,42,405
1,probe_rule,x,positive,0.145,5,148,1,none,none,0.0,False,500,127.7693019448989,651.734699960798,0.2464877377635583,0.038581940031973155,0.0483316398890067,0.023273149125752846,50,0.1,52,0.026,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed148_trial01.jsonl,,0,whole,72,428,0
1,probe_rule,x,positive,0.145,5,148,2,x,negative,0.1,True,67,213.1839800535043,80.10470005683601,0.04852301758837853,0.03397603762469231,0.22769225359414003,0.22123786930093264,30,0.44776119402985076,39,0.1455223880597015,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\phase_trajectories\whole\probe_rule_seed148_trial02.jsonl,,32,whole,32,29,6
